50:47:0010207:663
50:04:0000000:13869
50:29:0020304:211
50:09:0020544:1153
50:12:0101902:116
50:29:0010321:494
50:26:0110605:716
50:28:0010445:126
50:16:0601011:907
50:03:0070280:1101
50:37:0040121:38
50:20:0040604:438
50:31:0040710:85
50:34:0050418:37
50:06:0110202:99
50:26:0090802:259
50:26:0120509:640
50:16:0604008:145
50:11:0020521:335
50:51:0020205:202
50:42:0000000:5305
50:58:0040204:117
50:04:0220401:364
50:05:0010512:74
50:27:0020705:453
50:19:0020102:702
50:57:0010105:16
50:26:0050203:108
50:37:0040140:231
50:30:0030305:2177
50:15:0030714:67
50:34:0040303:501
50:31:0040819:317
50:08:0070317:126
50:27:0020324:75
50:23:0000000:150508
50:28:0110220:5
50:40:0020705:87
50:27:0030714:69
50:35:0030309:292
50:42:0030307:548
50:14:0010215:101
50:15:0030802:56
50:24:0040645:368
50:30:0020301:50
50:23:0030126:1746
50:04:0190105:64
50:05:0040211:323
50:35:0020113:213
50:15:0030406:2
50:17:0021511:194
50:23:0010305:609
50:17:0030213:232
50:07:0020107:280
50:07:0030506:212
50:18:0070103:360
50:23:0020361:167
50:08:0040219:32
50:33:0030213:661
50:03:0050380:90
50:16:0103026:707
50:31:0020509:108
50:28:0090224:466
50:18:0070311:175
50:23:0050336:381
50:58:0090101:84
50:25:0010202:397
50:20:0041906:180
50:15:0080501:70
50:09:0010306:957
50:19:0040316:92
50:16:0602004:358
50:46:0060707:142
50:23:0020270:168
50:04:0010902:186
50:28:0110147:176
50:23:0030401:352
50:33:0030237:159
50:31:0030406:12
50:03:0050380:6345
50:28:0010574:69
50:29:0010402:948
50:34:0010606:1117
50:24:0050669:187
50:20:0050101:565
50:26:0020401:1844
50:31:0000000:56236
50:29:0040502:173
50:34:0010811:827
50:07:0030403:7
50:41:0040120:393
50:38:0040136:108
50:26:0110305:29
50:13:0080308:673
50:34:0010221:198
50:09:0010601:1422
50:08:0010108:212
50:01:0010121:51
50:22:0030503:814
50:31:0060602:211
50:38:0040131:476
50:13:0070202:1113
50:18:0080124:1036
50:01:0031105:53
